property,stage,n,mean,std,min,q25,median,q75,max,n_outliers_1p5iqr
ex_max,raw,920,509.4891,65.9599,300.0000,476.0000,502.0000,560.0000,702.0000,14
ex_max,cleaned,872,509.4908,66.1316,342.0000,475.7500,501.0000,560.0000,702.0000,13
ex_max,train_experimental,150,506.5267,60.1176,375.0000,471.0000,502.5000,558.0000,690.0000,1
ex_max,train_computational,656,503.8674,57.3105,343.0000,479.5000,500.0000,554.0000,611.0000,2
em_max,raw,876,541.9098,63.3405,300.0000,505.0000,515.0000,591.2500,1000.0000,2
em_max,cleaned,833,541.7107,61.3673,382.0000,505.0000,515.0000,591.0000,720.0000,0
em_max,train_experimental,145,544.7034,56.7276,450.0000,507.0000,518.0000,592.0000,711.0000,0
em_max,train_computational,622,533.3103,51.2552,414.0000,505.0000,514.0000,579.0000,684.0000,0
qy,raw,723,0.4681,0.2685,0.0000,0.2300,0.4900,0.6800,1.0000,0
qy,cleaned,693,0.4721,0.2681,0.0000,0.2400,0.5000,0.6900,1.0000,0
ext_coeff,raw,655,65936.2595,38574.6790,45.0000,35600.0000,60000.0000,90950.0000,220000.0000,7
ext_coeff,cleaned,623,66719.3788,38203.1938,45.0000,36000.0000,61732.0000,92000.0000,220000.0000,5
pka,raw,414,5.1787,1.2550,0.0000,4.5000,5.2600,5.9000,9.5200,16
pka,cleaned,402,5.1417,1.2104,0.0000,4.5000,5.2300,5.8850,8.9600,14
